id	text	labels
8d15fb88-fe02-44ff-bed2-5b7df1745569	Rumpsteak rozhodne nebyl medium, spis well done az done too much	[('food quality', 'negative', 'Rumpsteak')]
b254ab20-d5d9-454f-8453-8d1319a7937f	Pěkné ubytování, dobrá snídaně a milý personal.	[('food quality', 'positive', 'snídaně'), ('service general', 'positive', 'personal')]
9f00b4e2-155d-4b4e-9aa3-e3802bfe7a08	z medium steaku se vyklubal z 1/3 syrovy doplneny o omacku pry s peprem	[('food quality', 'negative', 'steaku'), ('food quality', 'negative', 'omacku')]
5ace4e32-1ab9-46f0-856b-5ef1dd2bfcb7	Mrzí mě to ale nic moc,nedoporucuji.	[('restaurant general', 'negative', 'NULL')]
43311837-1cde-4b31-90a6-aa0e8f49a053	Snad i restaurace Na Scestí se jednou dostane na SPRÁVNOU CESTU ! ! !	[('restaurant general', 'neutral', 'restaurace Na Scestí')]
44d06b3f-e4ea-40da-b460-96278a91c629	jedná se o zteplalou vodu (nejspíše z kohoutku) ve které se louhuje kolečko pomeranče, limetky a pár lístků máty	[('drinks quality', 'negative', 'vodu')]
be40c17b-ecca-4d58-b469-7e2ebfe5ce45	zhoreny gulas	[('food quality', 'negative', 'gulas')]
793a75cf-2fd7-4971-9bc1-afcf59a0919a	Je potřeba na ně pozvat finanční úřad a hygienu a další	[('restaurant miscellaneous', 'negative', 'NULL')]
12599478-c9c9-49a3-a4aa-6ef7693e802a	Oslava byla super zásluhou dobrého jídla a milého personálu	[('food quality', 'positive', 'jídla'), ('service general', 'positive', 'personálu')]
703e2565-f165-40a1-9411-cc6d004b8e20	Restauraci Dynamo navštěvuji pravidelně a jsem naprosto spokojena	[('restaurant general', 'positive', 'Restauraci Dynamo')]
1bf49a4d-6ae9-460c-af8b-6c37eb630920	Velké pohodlí, příjemná obsluha některé stoly jsou trošku vyší a není pohodlné u nich jíst na kafe však parádní, sedačky a židle měkké z koženky působí to luxusně ... Velký výběr pití kávy pohárů se zmrzlinou i jídla	[('service general', 'positive', 'obsluha'), ('drinks style_options', 'positive', 'pití'), ('drinks style_options', 'positive', 'kávy'), ('food style_options', 'positive', 'pohárů se zmrzlinou'), ('food style_options', 'positive', 'jídla'), ('ambience general', 'neutral', 'NULL')]
1d638c5a-74b9-4201-b4cb-22fc4c4e5f2b	Snad jen poslední připomínka kdy dojde k nějaké úpravě již hodně zastaralé restaurace??	[('restaurant miscellaneous', 'negative', 'restaurace')]
aa6afe17-684c-4495-86c5-087cf5705545	Moc hezká kavárna, ale mraky lidí	[('restaurant general', 'positive', 'kavárna')]
a4fa328d-666f-422e-8271-81c4d292177b	V blízkém okolí je dost lepších	[('restaurant general', 'negative', 'NULL')]
6ee8c49f-d34c-438b-836e-40d5f4a6160a	Maso bylo propečené celkem v pořádku, ale bylo opět málo dochucené a společně s bramborou pečenou ve slupce a přelitou zakysanou smetanou nás nutilo k neustálému dosolování každého sousta (a to moc nesolíme)	[('food quality', 'neutral', 'Maso'), ('food quality', 'neutral', 'bramborou pečenou ve slupce')]
7175fd19-bf7a-4b6c-b203-6f73b7a825f4	Čisté a hezké ubytování v bývalém mlýně s milými a přívětivými majiteli, v krásné destinaci s mnoha možnostmi výletů do překrásného okolí.	[('service general', 'positive', 'majiteli'), ('location general', 'positive', 'destinaci'), ('ambience general', 'positive', 'NULL'), ('restaurant general', 'positive', 'NULL')]
5b1b7e10-c52e-40ad-8e48-9ea94494cba4	"Tento podnik doporučuji navštívit jako gurmánskou destinaci i jako výlet ""jak se u toho Pohlreicha vaří"" ."	[('food quality', 'positive', 'podnik'), ('restaurant general', 'positive', 'podnik')]
fd776617-712b-4a25-bf1f-5261d934781d	Není to přesně místo, které byste předpokládali, že můžete mít úžasné mexické jídlo, ale to je to, co zde najdete. Můj přítel měl svůj enchilada special a já jsem si užil enchiladas tres. Jejich molární omáčka byla na místě. Je to trochu navíc pro sýr, ale stojí za to. Margarity byly také chutné. Vřele doporučuji navštívit zde, pokud na Starém Městě a chcete uniknout turistické pasti.	[('food quality', 'positive', 'mexické jídlo'), ('food quality', 'positive', 'enchilada special'), ('food quality', 'positive', 'enchiladas tres'), ('drinks quality', 'positive', 'Margarity')]
f4610c36-9164-4c02-932a-d34fc83d975e	Má to originální styl	[('ambience general', 'positive', 'styl')]
ecb0c46d-f76e-4cb7-a4d8-3708ae7d67ec	Byly jsme tak přes dvě hodky, já byl u pultu asi 7, pokaždé trochu něčeho jiného,nikdo mě neokrad,platil jsem u kasy.	[('restaurant miscellaneous', 'neutral', 'NULL')]
