,text,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9,labels_10,labels_11,labels_12,labels_13,labels_14,labels_15
0," Sooft nach LOC und noch nie hier Essen, was für eine Zeitverschwendung!","('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
1," Sooft nach LOC und noch nie hier Essen, was für eine Zeitverschwendung!",,,,,,,,,,,,,,,,
2,"!Auch wenn die Bedienung sich dafür entschuldigt hat, war es kein schönes Erlebnis.","('SERVICE', 'POSITIVE', 'Bedienung')","('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,
3,"!Auch wenn die Bedienung sich dafür entschuldigt hat, war es kein schönes Erlebnis.",,,,,,,,,,,,,,,,
4,!Dieses Lokal können wir sehr guten Gewissens nur empfehlen (und wir empfehlen nur selten Restaurants).,"('GENERAL-IMPRESSION', 'POSITIVE', 'Lokal')",,,,,,,,,,,,,,,
5,!Dieses Lokal können wir sehr guten Gewissens nur empfehlen (und wir empfehlen nur selten Restaurants).,,,,,,,,,,,,,,,,
6,!Mit Abstand der lächerlichste laden in LOC!,"('GENERAL-IMPRESSION', 'NEGATIVE', 'laden')",,,,,,,,,,,,,,,
7,!Mit Abstand der lächerlichste laden in LOC!,,,,,,,,,,,,,,,,
8,!Nur zu empfehlen!,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
9,!Nur zu empfehlen!,,,,,,,,,,,,,,,,
10,"""Übrigens, das Ehepaar, welches nach uns an unserem Tisch Platz nahm, sah sich genötigt, sich persönlich auf die Suche nach einen/r Servicemitarbeiter/in zu begeben.","('SERVICE', 'NEGATIVE', 'Servicemitarbeiter/in')",,,,,,,,,,,,,,,
11,"""Übrigens, das Ehepaar, welches nach uns an unserem Tisch Platz nahm, sah sich genötigt, sich persönlich auf die Suche nach einen/r Servicemitarbeiter/in zu begeben.",,,,,,,,,,,,,,,,
12,- Es war schon mal deutlich besser.,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
13,- Es war schon mal deutlich besser.,,,,,,,,,,,,,,,,
14,23 abends dann doch etwas frisch auf der Terrasse.,"('AMBIENCE', 'NEGATIVE', 'Terrasse')",,,,,,,,,,,,,,,
15,23 abends dann doch etwas frisch auf der Terrasse.,,,,,,,,,,,,,,,,
16,"2x umgesetzt werden, nach 45 min immer noch keine Bestellung aufgenommen.","('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
17,"2x umgesetzt werden, nach 45 min immer noch keine Bestellung aufgenommen.",,,,,,,,,,,,,,,,
18,"30% - ausreichend Personal, System der Annahme von Bestellungen nicht erkennbar.","('SERVICE', 'NEGATIVE', 'System der Annahme von Bestellungen')",,,,,,,,,,,,,,,
19,"30% - ausreichend Personal, System der Annahme von Bestellungen nicht erkennbar.",,,,,,,,,,,,,,,,
20,":)Großer Dank gilt hier unserer Bedienung Susanna, die höflichst und in bester italienischer Manier auf unsere Wünsche eingegangen ist!","('SERVICE', 'POSITIVE', 'Susanna')",,,,,,,,,,,,,,,
21,":)Großer Dank gilt hier unserer Bedienung Susanna, die höflichst und in bester italienischer Manier auf unsere Wünsche eingegangen ist!",,,,,,,,,,,,,,,,
22,= Brauhaus - Service = unterste Schublade,"('SERVICE', 'NEGATIVE', 'Brauhaus - Service')",,,,,,,,,,,,,,,
23,= Brauhaus - Service = unterste Schublade,,,,,,,,,,,,,,,,
24,"Aber Fernet Branca aus einem Grappaglas, das ist Stilbruch.","('FOOD', 'NEGATIVE', 'Fernet Branca aus einem Grappaglas')",,,,,,,,,,,,,,,
25,"Aber Fernet Branca aus einem Grappaglas, das ist Stilbruch.",,,,,,,,,,,,,,,,
26,Aber das Essen ist einfach nichts besonderes.,"('FOOD', 'NEUTRAL', 'Essen')",,,,,,,,,,,,,,,
27,Aber das Essen ist einfach nichts besonderes.,,,,,,,,,,,,,,,,
28,"Aber das Saure Lüngerl (eine der Spezialitäten des Hauses) war so sauer, dass es leider nicht essbar war, außerdem war es lauwarm.","('FOOD', 'NEGATIVE', 'Saure Lüngerl')",,,,,,,,,,,,,,,
29,"Aber das Saure Lüngerl (eine der Spezialitäten des Hauses) war so sauer, dass es leider nicht essbar war, außerdem war es lauwarm.",,,,,,,,,,,,,,,,
